Patrick Toomey,Pennsylvania,@SenToomey,https://www.facebook.com/senatortoomey 
"Bob Casey, Jr.",Pennsylvania,@SenBobCasey,https://www.facebook.com/SenatorBobCasey 
"Marino, Tom",Pennsylvania 10th District,@RepTomMarino,https://www.facebook.com/CongressmanMarino
"Barletta, Lou",Pennsylvania 11th District,@RepLouBarletta,http://www.facebook.com/CongressmanLouBarletta
"Rothfus, Keith",Pennsylvania 12th District,@KeithRothfus,https://www.facebook.com/keithrothfus
"Boyle, Brendan",Pennsylvania 13th District,@RepBrendanBoyle,https://www.facebook.com/CongressmanBoyle
"Doyle, Mike",Pennsylvania 14th District,@USRepMikeDoyle,https://www.facebook.com/usrepmikedoyle
"Dent, Charles W.",Pennsylvania 15th District,@RepCharlieDent,https://www.facebook.com/congressmandent
"Smucker, Lloyd",Pennsylvania 16th District,@SenatorSmucker,https://www.facebook.com/SmuckerforCongress
"Cartwright, Matthew",Pennsylvania 17th District,@RepCartwright,https://www.facebook.com/CongressmanMattCartwright
"Murphy, Tim",Pennsylvania 18th District,@RepTimMurphy,https://www.facebook.com/reptimmurphy
"Brady, Robert",Pennsylvania 1st District,@RepBrady,https://www.facebook.com/RepRobertBrady
"Evans, Dwight",Pennsylvania 2nd District,@DwightEvansPA,https://www.facebook.com/DwightEvansPA
"Kelly, Mike",Pennsylvania 3rd District,@MikeKellyPA,https://www.facebook.com/Representative-Mike-Kelly-191056827594903
"Perry, Scott",Pennsylvania 4th District,@RepScottPerry,https://www.facebook.com/repscottperry
"Thompson, Glenn W.",Pennsylvania 5th District,@CongressmanGT,https://www.facebook.com/CongressmanGT
"Costello, Ryan",Pennsylvania 6th District,@RepRyanCostello,https://www.facebook.com/CongressmanRyanCostello
"Meehan, Pat",Pennsylvania 7th District,@RepMeehan,https://www.facebook.com/CongressmanPatrickMeehan
"Fitzpatrick, Brian",Pennsylvania 8th District,@RepBrianFitz,https://www.facebook.com/RepBrianFitzpatrick/
"Shuster, Bill",Pennsylvania 9th District, @RepBillShuster, https://www.facebook.com/BillShusterforCongress/